Player,Team Name,Goals
菲尔克鲁格,云达不莱梅,16
恩昆库,RB莱比锡,16
格里福,弗赖堡,15
科洛-穆阿尼,法兰克福,15
格纳布里,拜仁慕尼黑,14
马库斯-图拉姆,门兴格拉德巴赫,13
克拉马里奇,霍芬海姆,12
杜克施,云达不莱梅,12
霍夫曼,门兴格拉德巴赫,12
穆西亚拉,拜仁慕尼黑,12
贝克尔,柏林联合,11
塞罗-吉拉西,斯图加特,11
卢克巴吉奥,柏林赫塔,11
比尔特,沙尔克04,11
舒波-莫廷,拜仁慕尼黑,10
格雷戈里奇,弗赖堡,10
奥尼西沃,美因茨,10
因瓦尔特森,美因茨,10
阿莱,多特蒙德,9
布兰特,多特蒙德,9
维尔纳,RB莱比锡,9
贝里沙,奥格斯堡,9
镰田大地,法兰克福,9
穆萨-迪亚比,勒沃库森,9
马伦,多特蒙德,9
施廷德尔,门兴格拉德巴赫,8
霍夫曼,波鸿,8
贝伦斯,柏林联合,8
金斯利-科曼,拜仁慕尼黑,8
萨内,拜仁慕尼黑,8
德米罗维奇,奥格斯堡,8
杰里米-弗林蓬,勒沃库森,8
贝林厄姆,多特蒙德,8
托马斯-穆勒,拜仁慕尼黑,7
马内,拜仁慕尼黑,7
比博,霍芬海姆,7
斯希里,科隆,7
李在城,美因茨,7
鲍姆加特纳,霍芬海姆,7
雷纳,多特蒙德,7
林德斯特伦,法兰克福,7
穆科科,多特蒙德,7
罗伊斯,多特蒙德,6
福斯贝里,RB莱比锡,6
凯因茨,科隆,6
达布尔,霍芬海姆,6
塞尔克,科隆,6
扬尼克-格哈特,沃尔夫斯堡,6
阿若克,美因茨,6
本塞拜尼,门兴格拉德巴赫,6
里希特,柏林赫塔,6
蒂格斯,科隆,6
索博斯洛伊,RB莱比锡,6
温德,沃尔夫斯堡,6
阿德耶米,多特蒙德,6
特罗德,沙尔克04,5
远藤航,斯图加特,5
阿诺德,沃尔夫斯堡,5
斯托格,波鸿,5
尼德莱赫纳,柏林赫塔,5
哈勃勒,柏林联合,5
基米希,拜仁慕尼黑,5
霍勒,弗赖堡,5
阿龙-马丁,美因茨,5
图萨尔,柏林赫塔,5
堂安律,弗赖堡,5
柳比契奇,科隆,5
多克希,柏林联合,5
阿内-迈尔,奥格斯堡,5
马尔穆什,沃尔夫斯堡,5
菲里希,斯图加特,5
鲍库,沃尔夫斯堡,5
姆武帕,斯图加特,5
赫洛热克,勒沃库森,5
阿德利,勒沃库森,5
马蒂斯-特尔,拜仁慕尼黑,5
罗德,法兰克福,4
约维蒂奇,柏林赫塔,4
德雷克斯勒,沙尔克04,4
格雷罗,多特蒙德,4
阿兹蒙,勒沃库森,4
威利-奥尔班,RB莱比锡,4
安德烈-席尔瓦,RB莱比锡,4
金特尔,弗赖堡,4
德米尔拜,勒沃库森,4
瓦尔德施密特,沃尔夫斯堡,4
阿米里,勒沃库森,4
索乌,法兰克福,4
塞巴切乌,柏林联合,4
塞尔达,柏林赫塔,4
帕瓦尔,拜仁慕尼黑,4
斯万贝里,沃尔夫斯堡,4
马索维奇,波鸿,4
卢卡斯-恩梅加,沃尔夫斯堡,4
帕拉西奥斯,勒沃库森,4
巴雷罗,美因茨,4
恩甘卡姆,柏林赫塔,4
尼科-施洛特贝克,多特蒙德,4
库利巴利,斯图加特,4
卡明斯基,沃尔夫斯堡,4
维默尔,沃尔夫斯堡,4
侯赛因巴希奇,科隆,4
措勒,波鸿,3
格策,法兰克福,3
比当古,云达不莱梅,3
格雷茨卡,拜仁慕尼黑,3
多米尼克-科尔,美因茨,3
米歇尔,柏林联合,3
福斯特,波鸿,3
希克,勒沃库森,3
尼科-埃尔维迪,门兴格拉德巴赫,3
浅野拓磨,波鸿,3
罗伯特-斯科夫,霍芬海姆,3
许伯斯,科隆,3
莱默尔,RB莱比锡,3
布塔,法兰克福,3
尼克拉斯-施密特,云达不莱梅,3
德利赫特,拜仁慕尼黑,3
斯特奇,云达不莱梅,3
安特维-阿德杰伊,波鸿,3
巴克,勒沃库森,3
鲁文-巴尔加斯,奥格斯堡,3
马伊纳,科隆,3
迪纳-埃宾贝,法兰克福,3
贝廖,奥格斯堡,3
费利克斯-恩梅加,沃尔夫斯堡,3
比诺埃-吉滕斯,多特蒙德,3
蒂亚戈-托马斯,斯图加特,3
